#lam_um dlam_um depth depth_sigma response_mode
1.00945 0.0001175 1.89909e-09 4.70349e-11 boxcar
1.00969 0.0001175 1.91489e-09 4.97636e-11 boxcar
1.00992 0.0001175 2.04314e-09 4.53835e-11 boxcar
1.01016 0.0001175 2.09227e-09 5.06876e-11 boxcar
1.01039 0.0001175 2.0918e-09 4.76823e-11 boxcar
1.01063 0.0001175 2.13044e-09 4.81919e-11 boxcar
1.01086 0.0001175 1.91713e-09 4.80408e-11 boxcar
1.0111 0.0001175 2.0627e-09 4.81006e-11 boxcar
1.01133 0.0001175 2.1162e-09 4.98012e-11 boxcar
1.01157 0.0001175 2.07773e-09 4.46988e-11 boxcar
1.0118 0.0001175 2.1575e-09 4.80983e-11 boxcar
1.01204 0.0001175 2.036e-09 4.56501e-11 boxcar
1.01227 0.0001175 2.03888e-09 4.48788e-11 boxcar
1.01251 0.0001175 2.17032e-09 4.62402e-11 boxcar
1.01274 0.0001175 2.32238e-09 4.63054e-11 boxcar
1.01298 0.0001175 2.13035e-09 4.43381e-11 boxcar
1.01321 0.0001175 2.10099e-09 4.53578e-11 boxcar
1.01345 0.0001175 2.20633e-09 4.77844e-11 boxcar
1.01368 0.0001175 2.21585e-09 4.96739e-11 boxcar
1.01392 0.0001175 2.1036e-09 4.71063e-11 boxcar
1.01415 0.0001175 1.85526e-09 4.43176e-11 boxcar
1.01439 0.0001175 1.8187e-09 4.35051e-11 boxcar
1.01462 0.0001175 2.2307e-09 4.90072e-11 boxcar
1.01486 0.0001175 2.13341e-09 4.73386e-11 boxcar
1.01509 0.0001175 2.00655e-09 4.75304e-11 boxcar
1.01533 0.0001175 2.1512e-09 5.03807e-11 boxcar
1.01556 0.0001175 2.01255e-09 5.15766e-11 boxcar
1.0158 0.0001175 2.24816e-09 4.73101e-11 boxcar
1.01603 0.0001175 2.09004e-09 4.61414e-11 boxcar
1.01627 0.0001175 2.42162e-09 5.16894e-11 boxcar
1.0165 0.0001175 1.99528e-09 4.27024e-11 boxcar
1.01674 0.0001175 2.15366e-09 4.43605e-11 boxcar
1.01697 0.0001175 1.81674e-09 4.91819e-11 boxcar
1.01721 0.0001175 2.12727e-09 4.8259e-11 boxcar
1.01744 0.0001175 1.92993e-09 5.33066e-11 boxcar
1.01768 0.0001175 2.29493e-09 4.61356e-11 boxcar
1.01791 0.0001175 2.15085e-09 5.02605e-11 boxcar
1.01815 0.0001175 2.10083e-09 4.79183e-11 boxcar
1.01838 0.0001175 2.04441e-09 5.19585e-11 boxcar
1.01862 0.0001175 2.06504e-09 5.53359e-11 boxcar
1.01885 0.0001175 2.17322e-09 4.99473e-11 boxcar
1.01909 0.0001175 2.06313e-09 4.774e-11 boxcar
1.01932 0.0001175 2.17192e-09 4.80847e-11 boxcar
1.01956 0.0001175 2.00565e-09 4.66745e-11 boxcar
1.01979 0.0001175 2.1102e-09 4.75825e-11 boxcar
1.02003 0.0001175 2.21699e-09 4.66204e-11 boxcar
1.02026 0.0001175 2.0966e-09 4.59846e-11 boxcar
1.0205 0.0001175 2.25845e-09 4.58691e-11 boxcar
1.02073 0.0001175 2.07722e-09 4.56442e-11 boxcar
1.02097 0.0001175 2.14556e-09 4.50745e-11 boxcar
1.0212 0.0001175 2.11891e-09 4.45789e-11 boxcar
1.02144 0.0001175 2.1103e-09 4.4051e-11 boxcar
1.02167 0.0001175 2.04976e-09 4.39316e-11 boxcar
1.02191 0.0001175 2.04736e-09 4.53583e-11 boxcar
1.02214 0.0001175 1.99697e-09 4.15115e-11 boxcar
1.02238 0.0001175 2.16626e-09 4.23015e-11 boxcar
1.02261 0.0001175 2.20924e-09 4.47214e-11 boxcar
1.02285 0.0001175 2.1672e-09 4.51115e-11 boxcar
1.02308 0.0001175 2.15784e-09 4.53122e-11 boxcar
1.02332 0.0001175 2.15027e-09 4.316e-11 boxcar
1.02355 0.0001175 2.18283e-09 4.65109e-11 boxcar
1.02379 0.0001175 2.27815e-09 4.7513e-11 boxcar
1.02402 0.0001175 2.26017e-09 5.63809e-11 boxcar
1.02426 0.0001175 2.29056e-09 4.79839e-11 boxcar
1.02449 0.0001175 2.12332e-09 4.53079e-11 boxcar
1.02473 0.0001175 1.96882e-09 4.51743e-11 boxcar
1.02496 0.0001175 2.11145e-09 4.51154e-11 boxcar
1.0252 0.0001175 2.24314e-09 5.09236e-11 boxcar
1.02543 0.0001175 2.17187e-09 4.96335e-11 boxcar
1.02567 0.0001175 2.25875e-09 4.77727e-11 boxcar
1.0259 0.0001175 2.30806e-09 5.05576e-11 boxcar
1.02614 0.0001175 2.25842e-09 5.28968e-11 boxcar
1.02637 0.0001175 2.12103e-09 4.65617e-11 boxcar
1.02661 0.0001175 2.18076e-09 4.7569e-11 boxcar
1.02684 0.0001175 2.25378e-09 5.07313e-11 boxcar
1.02708 0.0001175 2.18036e-09 4.95831e-11 boxcar
1.02731 0.0001175 2.19206e-09 4.98059e-11 boxcar
1.02755 0.0001175 1.82433e-09 4.57667e-11 boxcar
1.02778 0.0001175 2.4998e-09 5.08887e-11 boxcar
1.02802 0.0001175 2.59793e-09 5.30605e-11 boxcar
1.02825 0.0001175 2.15393e-09 5.23301e-11 boxcar
1.02849 0.0001175 2.11794e-09 6.01078e-11 boxcar
1.02872 0.0001175 2.54321e-09 4.97372e-11 boxcar
1.02896 0.0001175 2.50695e-09 5.10338e-11 boxcar
1.02919 0.0001175 2.43966e-09 4.63952e-11 boxcar
1.02943 0.0001175 2.24784e-09 4.58742e-11 boxcar
1.02966 0.0001175 2.20001e-09 4.57032e-11 boxcar
1.0299 0.0001175 2.13744e-09 4.5297e-11 boxcar
1.03013 0.0001175 2.0703e-09 4.39361e-11 boxcar
1.03037 0.0001175 2.26648e-09 4.3441e-11 boxcar
1.0306 0.0001175 2.25883e-09 4.35119e-11 boxcar
1.03084 0.0001175 2.12899e-09 4.26552e-11 boxcar
1.03107 0.0001175 2.23841e-09 4.27016e-11 boxcar
1.03131 0.0001175 2.26649e-09 4.3446e-11 boxcar
1.03154 0.0001175 2.36957e-09 4.2409e-11 boxcar
1.03178 0.0001175 2.32112e-09 4.30125e-11 boxcar
1.03201 0.0001175 2.28147e-09 4.24187e-11 boxcar
1.03225 0.0001175 2.19486e-09 4.14777e-11 boxcar
1.03248 0.0001175 2.0442e-09 4.2333e-11 boxcar
1.03272 0.0001175 2.17082e-09 4.16202e-11 boxcar
1.03295 0.0001175 2.21618e-09 4.24789e-11 boxcar
1.03319 0.0001175 2.09497e-09 4.45428e-11 boxcar
1.03342 0.0001175 2.18344e-09 4.66663e-11 boxcar
1.03366 0.0001175 2.1241e-09 4.35614e-11 boxcar
1.03389 0.0001175 2.10616e-09 4.29301e-11 boxcar
1.03413 0.0001175 2.25424e-09 4.51851e-11 boxcar
1.03436 0.0001175 2.30044e-09 4.7127e-11 boxcar
1.0346 0.0001175 2.46556e-09 4.9756e-11 boxcar
1.03483 0.0001175 2.57053e-09 4.91049e-11 boxcar
1.03507 0.0001175 2.31384e-09 4.87008e-11 boxcar
1.0353 0.0001175 2.32021e-09 4.77596e-11 boxcar
1.03554 0.0001175 2.27051e-09 4.97644e-11 boxcar
1.03577 0.0001175 2.21356e-09 4.65763e-11 boxcar
