CENTRALWAVELNG	BANDWIDTH	PL_TRANDEP	PL_TRANDEPERR1	PL_TRANDEPERR2	PL_TRANDEP_AUTHORS	PL_RATROR	PL_RATRORERR1	PL_RATRORERR2	PL_RATROR_AUTHORS	PL_RADJ	PL_RADJERR1	PL_RADJERR2	PL_RADJ_AUTHORS	PL_TRANMID	PL_TRANMIDERR1	PL_TRANMIDERR2	ST_RAD	ST_RADERR1	ST_RADERR2	ST_RAD_AUTHORS
3.5375	0.0075	2.0378	0.0078	-0.0078	Welbanks et al. 2024	0.14275	0.00027	-0.00027	Calculated	0.9307	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.5525	0.0075	2.0229	0.0081	-0.0081	Welbanks et al. 2024	0.14223	0.00028	-0.00029	Calculated	0.9273	0.0277	-0.0277	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.5675	0.0075	2.0241	0.0079	-0.0079	Welbanks et al. 2024	0.14227	0.00028	-0.00028	Calculated	0.9276	0.0277	-0.0277	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.5825	0.0075	2.0292	0.0079	-0.0079	Welbanks et al. 2024	0.14245	0.00028	-0.00028	Calculated	0.9288	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.5975	0.0075	2.0355	0.0077	-0.0077	Welbanks et al. 2024	0.14267	0.00027	-0.00027	Calculated	0.9302	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.6125	0.0075	2.0396	0.0081	-0.0081	Welbanks et al. 2024	0.14281	0.00028	-0.00028	Calculated	0.9311	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.6275	0.0075	2.0288	0.0076	-0.0076	Welbanks et al. 2024	0.14244	0.00027	-0.00027	Calculated	0.9287	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.6425	0.0075	2.032	0.0082	-0.0082	Welbanks et al. 2024	0.14255	0.00029	-0.00029	Calculated	0.9294	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.6575	0.0075	2.0288	0.0078	-0.0078	Welbanks et al. 2024	0.14244	0.00027	-0.00027	Calculated	0.9287	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.6725	0.0075	2.0319	0.0078	-0.0078	Welbanks et al. 2024	0.14254	0.00027	-0.00027	Calculated	0.9294	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.6875	0.0075	2.034	0.0101	-0.0101	Welbanks et al. 2024	0.14262	0.00035	-0.00035	Calculated	0.9299	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
