# TWA 27b JWST emission spectrum
# NIRSpec binned from native sampling to R=400; MIRI rows unchanged from twa27b_JWST_em.txt
# NIRSpec errors remain the original convention of 3% assumed errors; errors not retrieved
# MIRI MRS (twa27-b_MIRI_MRS_bin100.txt): errors from data; offset_group MIRI is a free parameter
# Flux converted from Jy to erg/s/cm^2/cm (Flambda)
# lam_um  dlam_um  flux  flux_sigma  response_mode  offset_group
1.601243e+00  2.001553e-03  7.233605e-10  2.170082e-11  boxcar  NIRSpec
1.605251e+00  2.006563e-03  7.089013e-10  2.126704e-11  boxcar  NIRSpec
1.609270e+00  2.011586e-03  6.953403e-10  2.086021e-11  boxcar  NIRSpec
1.613298e+00  2.016621e-03  7.056271e-10  2.116881e-11  boxcar  NIRSpec
1.617336e+00  2.021669e-03  7.243368e-10  2.173010e-11  boxcar  NIRSpec
1.621385e+00  2.026730e-03  7.535535e-10  2.260661e-11  boxcar  NIRSpec
1.625443e+00  2.031803e-03  7.795635e-10  2.338691e-11  boxcar  NIRSpec
1.629512e+00  2.036889e-03  7.963424e-10  2.389027e-11  boxcar  NIRSpec
1.633591e+00  2.041987e-03  7.547855e-10  2.264356e-11  boxcar  NIRSpec
1.637680e+00  2.047099e-03  7.957277e-10  2.387183e-11  boxcar  NIRSpec
1.641779e+00  2.052223e-03  8.066760e-10  2.420028e-11  boxcar  NIRSpec
1.645889e+00  2.057360e-03  8.078296e-10  2.423489e-11  boxcar  NIRSpec
1.650009e+00  2.062510e-03  8.586048e-10  2.575814e-11  boxcar  NIRSpec
1.654139e+00  2.067672e-03  8.707676e-10  2.612303e-11  boxcar  NIRSpec
1.658279e+00  2.072848e-03  8.819770e-10  2.645931e-11  boxcar  NIRSpec
1.662430e+00  2.078037e-03  8.619048e-10  2.585714e-11  boxcar  NIRSpec
1.666591e+00  2.083238e-03  8.569813e-10  2.570944e-11  boxcar  NIRSpec
1.670763e+00  2.088453e-03  8.896777e-10  2.669033e-11  boxcar  NIRSpec
1.674945e+00  2.093680e-03  8.733715e-10  2.620115e-11  boxcar  NIRSpec
1.679138e+00  2.098921e-03  9.038440e-10  2.711532e-11  boxcar  NIRSpec
1.683341e+00  2.104175e-03  9.143553e-10  2.743066e-11  boxcar  NIRSpec
1.687555e+00  2.109442e-03  8.821199e-10  2.646360e-11  boxcar  NIRSpec
1.691779e+00  2.114722e-03  8.981174e-10  2.694352e-11  boxcar  NIRSpec
1.696013e+00  2.120016e-03  8.476349e-10  2.542905e-11  boxcar  NIRSpec
1.700259e+00  2.125322e-03  8.730579e-10  2.619174e-11  boxcar  NIRSpec
1.704515e+00  2.130642e-03  8.927446e-10  2.678234e-11  boxcar  NIRSpec
1.708781e+00  2.135976e-03  8.875605e-10  2.662681e-11  boxcar  NIRSpec
1.713059e+00  2.141322e-03  8.600134e-10  2.580040e-11  boxcar  NIRSpec
1.717347e+00  2.146682e-03  8.518787e-10  2.555636e-11  boxcar  NIRSpec
