# TWA 27b JWST emission spectrum
# NIRSpec (twa27b.txt): 3% assumed errors; errors not retrieved
# MIRI MRS (twa27-b_MIRI_MRS_bin100.txt): errors from data; offset_group MIRI is a free parameter
# Flux converted from Jy to erg/s/cm^2/cm (Flambda)
# lam_um  dlam_um  flux  flux_sigma  response_mode  offset_group
1.001676e+00  1.233000e-04  2.410119e-10  7.230356e-12  boxcar  NIRSpec
1.001923e+00  1.232750e-04  2.642306e-10  7.926918e-12  boxcar  NIRSpec
1.002169e+00  1.232750e-04  2.823022e-10  8.469065e-12  boxcar  NIRSpec
1.002416e+00  1.233000e-04  2.250360e-10  6.751080e-12  boxcar  NIRSpec
1.002663e+00  1.233000e-04  2.101617e-10  6.304850e-12  boxcar  NIRSpec
1.002909e+00  1.233000e-04  2.450178e-10  7.350534e-12  boxcar  NIRSpec
1.003156e+00  1.233000e-04  2.309517e-10  6.928552e-12  boxcar  NIRSpec
1.003402e+00  1.233000e-04  2.040716e-10  6.122148e-12  boxcar  NIRSpec
1.003649e+00  1.233000e-04  1.936539e-10  5.809616e-12  boxcar  NIRSpec
1.003896e+00  1.233000e-04  1.658903e-10  4.976708e-12  boxcar  NIRSpec
1.004142e+00  1.233000e-04  2.308735e-10  6.926206e-12  boxcar  NIRSpec
1.004389e+00  1.233000e-04  2.302252e-10  6.906756e-12  boxcar  NIRSpec
1.004636e+00  1.233000e-04  2.185239e-10  6.555718e-12  boxcar  NIRSpec
1.004882e+00  1.233000e-04  3.058878e-10  9.176634e-12  boxcar  NIRSpec
1.005129e+00  1.232750e-04  4.092605e-10  1.227781e-11  boxcar  NIRSpec
1.005375e+00  1.232750e-04  4.249452e-10  1.274836e-11  boxcar  NIRSpec
1.005622e+00  1.233000e-04  3.325689e-10  9.977066e-12  boxcar  NIRSpec
1.005868e+00  1.233000e-04  1.823795e-10  5.471384e-12  boxcar  NIRSpec
1.006115e+00  1.233000e-04  1.723842e-10  5.171525e-12  boxcar  NIRSpec
1.006362e+00  1.233000e-04  1.955218e-10  5.865655e-12  boxcar  NIRSpec
1.006608e+00  1.233000e-04  2.109992e-10  6.329975e-12  boxcar  NIRSpec
1.006855e+00  1.233000e-04  2.166727e-10  6.500180e-12  boxcar  NIRSpec
1.007101e+00  1.233000e-04  2.730174e-10  8.190521e-12  boxcar  NIRSpec
1.007348e+00  1.233000e-04  2.137330e-10  6.411989e-12  boxcar  NIRSpec
1.007595e+00  1.233000e-04  2.049664e-10  6.148992e-12  boxcar  NIRSpec
1.007841e+00  1.233000e-04  2.692942e-10  8.078827e-12  boxcar  NIRSpec
1.008088e+00  1.233000e-04  3.399651e-10  1.019895e-11  boxcar  NIRSpec
1.008334e+00  1.233000e-04  2.594056e-10  7.782167e-12  boxcar  NIRSpec
1.008581e+00  1.232750e-04  1.406100e-10  4.218300e-12  boxcar  NIRSpec
1.008827e+00  1.232750e-04  1.612257e-10  4.836772e-12  boxcar  NIRSpec
1.009074e+00  1.233000e-04  1.696373e-10  5.089120e-12  boxcar  NIRSpec
1.009321e+00  1.233000e-04  1.542597e-10  4.627791e-12  boxcar  NIRSpec
1.009567e+00  1.233000e-04  1.631860e-10  4.895580e-12  boxcar  NIRSpec
1.009814e+00  1.233000e-04  2.479414e-10  7.438241e-12  boxcar  NIRSpec
1.010061e+00  1.233000e-04  2.899700e-10  8.699100e-12  boxcar  NIRSpec
1.010307e+00  1.233000e-04  2.632192e-10  7.896577e-12  boxcar  NIRSpec
1.010554e+00  1.233000e-04  2.413479e-10  7.240438e-12  boxcar  NIRSpec
1.010800e+00  1.233000e-04  2.170085e-10  6.510255e-12  boxcar  NIRSpec
1.011047e+00  1.233000e-04  2.221066e-10  6.663198e-12  boxcar  NIRSpec
1.011294e+00  1.233000e-04  3.115108e-10  9.345325e-12  boxcar  NIRSpec
1.011540e+00  1.233000e-04  2.839529e-10  8.518586e-12  boxcar  NIRSpec
1.011787e+00  1.232750e-04  1.982702e-10  5.948105e-12  boxcar  NIRSpec
1.012033e+00  1.232750e-04  1.640552e-10  4.921655e-12  boxcar  NIRSpec
1.012280e+00  1.233000e-04  2.367549e-10  7.102647e-12  boxcar  NIRSpec
1.012526e+00  1.233000e-04  2.549443e-10  7.648330e-12  boxcar  NIRSpec
1.012773e+00  1.233000e-04  2.260773e-10  6.782320e-12  boxcar  NIRSpec
1.013020e+00  1.233000e-04  2.555845e-10  7.667534e-12  boxcar  NIRSpec
1.013266e+00  1.233000e-04  2.885203e-10  8.655610e-12  boxcar  NIRSpec
1.013513e+00  1.233000e-04  2.695359e-10  8.086076e-12  boxcar  NIRSpec
1.013759e+00  1.233000e-04  2.699563e-10  8.098688e-12  boxcar  NIRSpec
1.014006e+00  1.233000e-04  1.528690e-10  4.586070e-12  boxcar  NIRSpec
1.014253e+00  1.233000e-04  1.736144e-10  5.208433e-12  boxcar  NIRSpec
1.014499e+00  1.233000e-04  2.374364e-10  7.123091e-12  boxcar  NIRSpec
1.014746e+00  1.233000e-04  2.001573e-10  6.004720e-12  boxcar  NIRSpec
1.014992e+00  1.233000e-04  1.907371e-10  5.722114e-12  boxcar  NIRSpec
1.015239e+00  1.232750e-04  2.866081e-10  8.598244e-12  boxcar  NIRSpec
1.015486e+00  1.232750e-04  3.486525e-10  1.045958e-11  boxcar  NIRSpec
1.015732e+00  1.233000e-04  2.564793e-10  7.694380e-12  boxcar  NIRSpec
1.015979e+00  1.233000e-04  1.616470e-10  4.849410e-12  boxcar  NIRSpec
1.016225e+00  1.233000e-04  1.568518e-10  4.705554e-12  boxcar  NIRSpec
1.016472e+00  1.233000e-04  2.284981e-10  6.854942e-12  boxcar  NIRSpec
1.016719e+00  1.233000e-04  2.622037e-10  7.866112e-12  boxcar  NIRSpec
1.016965e+00  1.233000e-04  2.058263e-10  6.174788e-12  boxcar  NIRSpec
1.017212e+00  1.233000e-04  2.248586e-10  6.745759e-12  boxcar  NIRSpec
1.017458e+00  1.233000e-04  2.546340e-10  7.639019e-12  boxcar  NIRSpec
1.017705e+00  1.233000e-04  2.135842e-10  6.407527e-12  boxcar  NIRSpec
1.017951e+00  1.233000e-04  1.742106e-10  5.226319e-12  boxcar  NIRSpec
1.018198e+00  1.233000e-04  7.470456e-11  2.241137e-12  boxcar  NIRSpec
1.018445e+00  1.233000e-04  4.444934e-11  1.333480e-12  boxcar  NIRSpec
1.018691e+00  1.232750e-04  1.343676e-10  4.031029e-12  boxcar  NIRSpec
1.018938e+00  1.232750e-04  1.726531e-10  5.179593e-12  boxcar  NIRSpec
1.019184e+00  1.233000e-04  2.524428e-10  7.573285e-12  boxcar  NIRSpec
1.019431e+00  1.233000e-04  2.707908e-10  8.123725e-12  boxcar  NIRSpec
1.019678e+00  1.233000e-04  2.240069e-10  6.720206e-12  boxcar  NIRSpec
1.019924e+00  1.233000e-04  2.173506e-10  6.520518e-12  boxcar  NIRSpec
1.020171e+00  1.233000e-04  2.092437e-10  6.277312e-12  boxcar  NIRSpec
1.020417e+00  1.233000e-04  1.930863e-10  5.792589e-12  boxcar  NIRSpec
1.020664e+00  1.233000e-04  2.591896e-10  7.775688e-12  boxcar  NIRSpec
1.020911e+00  1.233000e-04  1.922887e-10  5.768662e-12  boxcar  NIRSpec
1.021157e+00  1.233000e-04  1.963203e-10  5.889608e-12  boxcar  NIRSpec
1.021404e+00  1.233000e-04  3.077274e-10  9.231821e-12  boxcar  NIRSpec
1.021650e+00  1.233000e-04  2.837637e-10  8.512912e-12  boxcar  NIRSpec
1.021897e+00  1.232750e-04  2.528525e-10  7.585575e-12  boxcar  NIRSpec
1.022144e+00  1.232750e-04  2.314670e-10  6.944010e-12  boxcar  NIRSpec
1.022390e+00  1.233000e-04  2.140886e-10  6.422657e-12  boxcar  NIRSpec
1.022637e+00  1.233000e-04  1.737781e-10  5.213344e-12  boxcar  NIRSpec
1.022883e+00  1.233000e-04  2.311142e-10  6.933427e-12  boxcar  NIRSpec
1.023130e+00  1.233000e-04  2.690340e-10  8.071021e-12  boxcar  NIRSpec
1.023376e+00  1.233000e-04  2.940904e-10  8.822712e-12  boxcar  NIRSpec
1.023623e+00  1.233000e-04  2.604919e-10  7.814756e-12  boxcar  NIRSpec
1.023870e+00  1.233000e-04  2.146157e-10  6.438472e-12  boxcar  NIRSpec
1.024116e+00  1.233000e-04  2.647647e-10  7.942940e-12  boxcar  NIRSpec
1.024363e+00  1.233000e-04  2.478067e-10  7.434201e-12  boxcar  NIRSpec
1.024609e+00  1.233000e-04  2.526574e-10  7.579722e-12  boxcar  NIRSpec
1.024856e+00  1.233000e-04  3.472488e-10  1.041747e-11  boxcar  NIRSpec
1.025103e+00  1.233000e-04  3.540328e-10  1.062098e-11  boxcar  NIRSpec
1.025349e+00  1.232750e-04  2.397753e-10  7.193258e-12  boxcar  NIRSpec
1.025596e+00  1.232750e-04  1.673835e-10  5.021506e-12  boxcar  NIRSpec
1.025842e+00  1.233000e-04  1.408131e-10  4.224392e-12  boxcar  NIRSpec
1.026089e+00  1.233000e-04  2.151084e-10  6.453252e-12  boxcar  NIRSpec
1.026336e+00  1.233000e-04  2.257544e-10  6.772632e-12  boxcar  NIRSpec
1.026582e+00  1.233000e-04  1.526348e-10  4.579043e-12  boxcar  NIRSpec
1.026829e+00  1.233000e-04  2.141884e-10  6.425652e-12  boxcar  NIRSpec
1.027075e+00  1.233000e-04  2.430222e-10  7.290667e-12  boxcar  NIRSpec
1.027322e+00  1.233000e-04  1.907317e-10  5.721951e-12  boxcar  NIRSpec
1.027569e+00  1.233000e-04  2.196597e-10  6.589791e-12  boxcar  NIRSpec
1.027815e+00  1.233000e-04  2.452219e-10  7.356657e-12  boxcar  NIRSpec
1.028062e+00  1.233000e-04  2.973160e-10  8.919480e-12  boxcar  NIRSpec
1.028308e+00  1.233000e-04  2.336942e-10  7.010825e-12  boxcar  NIRSpec
1.028555e+00  1.232750e-04  1.033637e-10  3.100910e-12  boxcar  NIRSpec
1.028801e+00  1.232750e-04  2.225161e-10  6.675483e-12  boxcar  NIRSpec
1.029048e+00  1.233000e-04  3.449455e-10  1.034837e-11  boxcar  NIRSpec
1.029295e+00  1.233000e-04  3.053790e-10  9.161371e-12  boxcar  NIRSpec
1.029541e+00  1.233000e-04  2.289539e-10  6.868616e-12  boxcar  NIRSpec
1.029788e+00  1.233000e-04  2.258666e-10  6.775997e-12  boxcar  NIRSpec
1.030034e+00  1.233000e-04  2.162380e-10  6.487139e-12  boxcar  NIRSpec
1.030281e+00  1.233000e-04  2.145263e-10  6.435790e-12  boxcar  NIRSpec
1.030528e+00  1.233000e-04  2.077929e-10  6.233788e-12  boxcar  NIRSpec
1.030774e+00  1.233000e-04  2.419812e-10  7.259436e-12  boxcar  NIRSpec
1.031021e+00  1.233000e-04  3.018878e-10  9.056635e-12  boxcar  NIRSpec
1.031268e+00  1.233000e-04  2.840737e-10  8.522210e-12  boxcar  NIRSpec
1.031514e+00  1.233000e-04  2.311207e-10  6.933622e-12  boxcar  NIRSpec
1.031761e+00  1.233000e-04  1.565066e-10  4.695197e-12  boxcar  NIRSpec
1.032007e+00  1.232750e-04  1.698089e-10  5.094266e-12  boxcar  NIRSpec
1.032254e+00  1.232750e-04  2.149104e-10  6.447312e-12  boxcar  NIRSpec
1.032500e+00  1.233000e-04  2.061022e-10  6.183065e-12  boxcar  NIRSpec
1.032747e+00  1.233000e-04  2.130871e-10  6.392613e-12  boxcar  NIRSpec
1.032994e+00  1.233000e-04  2.739254e-10  8.217763e-12  boxcar  NIRSpec
1.033240e+00  1.233000e-04  3.288637e-10  9.865912e-12  boxcar  NIRSpec
