#p (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (u)           	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            
1.0304169950e-07	1.0000000000e+03	1.3875509412e+12	7.4632799137e+11	2.3261518818e+00	2.9443797646e-04	2.4616620256e-07	4.9479739473e-04	4.4321062880e-16	3.6893085387e-13
1.0568759712e-07	1.0000000000e+03	1.4231804502e+12	7.6549214984e+11	2.3261519994e+00	2.9444096835e-04	2.4616869455e-07	4.9479741714e-04	4.6625972612e-16	3.7840429193e-13
1.0840143592e-07	1.0000000000e+03	1.4597248522e+12	7.8514840425e+11	2.3261521157e+00	2.9444389361e-04	2.4617113098e-07	4.9479743933e-04	4.9050759733e-16	3.8812098902e-13
1.1118496048e-07	1.0000000000e+03	1.4972076398e+12	8.0530939060e+11	2.3261522307e+00	2.9444675335e-04	2.4617351278e-07	4.9479746129e-04	5.1601659388e-16	3.9808719156e-13
1.1403996020e-07	1.0000000000e+03	1.5356529089e+12	8.2598806936e+11	2.3261523443e+00	2.9444954867e-04	2.4617584085e-07	4.9479748303e-04	5.4285231047e-16	4.0830930632e-13
1.1696827040e-07	1.0000000000e+03	1.5750853741e+12	8.4719773380e+11	2.3261524567e+00	2.9445228064e-04	2.4617811610e-07	4.9479750456e-04	5.7108375366e-16	4.1879390463e-13
1.1997177354e-07	1.0000000000e+03	1.6155303844e+12	8.6895201853e+11	2.3261525678e+00	2.9445495030e-04	2.4618033940e-07	4.9479752587e-04	6.0078351943e-16	4.2954772652e-13
1.2305240044e-07	1.0000000000e+03	1.6570139400e+12	8.9126490829e+11	2.3261526777e+00	2.9445755868e-04	2.4618251161e-07	4.9479754696e-04	6.3202797984e-16	4.4057768511e-13
1.2621213145e-07	1.0000000000e+03	1.6995627085e+12	9.1415074688e+11	2.3261527863e+00	2.9446010678e-04	2.4618463354e-07	4.9479756785e-04	6.6489747947e-16	4.5189087103e-13
1.2945299782e-07	1.0000000000e+03	1.7432040426e+12	9.3762424644e+11	2.3261528937e+00	2.9446259558e-04	2.4618670603e-07	4.9479758853e-04	6.9947654205e-16	4.6349455698e-13
1.3277708294e-07	1.0000000000e+03	1.7879659969e+12	9.6170049691e+11	2.3261529999e+00	2.9446502601e-04	2.4618872986e-07	4.9479760900e-04	7.3585408787e-16	4.7539620242e-13
1.3618652368e-07	1.0000000000e+03	1.8338773467e+12	9.8639497566e+11	2.3261531049e+00	2.9446739902e-04	2.4619070580e-07	4.9479762927e-04	7.7412366244e-16	4.8760345833e-13
1.3968351180e-07	1.0000000000e+03	1.8809676062e+12	1.0117235575e+12	2.3261532088e+00	2.9446971551e-04	2.4619263462e-07	4.9479764934e-04	8.1438367713e-16	5.0012417218e-13
1.4327029534e-07	1.0000000000e+03	1.9292670473e+12	1.0377025250e+12	2.3261533114e+00	2.9447197635e-04	2.4619451704e-07	4.9479766921e-04	8.5673766224e-16	5.1296639292e-13
1.4694918006e-07	1.0000000000e+03	1.9788067193e+12	1.0643485785e+12	2.3261534130e+00	2.9447418242e-04	2.4619635380e-07	4.9479768888e-04	9.0129453329e-16	5.2613837621e-13
1.5072253093e-07	1.0000000000e+03	2.0296184687e+12	1.0916788476e+12	2.3261535134e+00	2.9447633455e-04	2.4619814558e-07	4.9479770836e-04	9.4816887117e-16	5.3964858966e-13
