# wavelength_um  flux
8.7307530822e-01 1.2903168727e-09
8.7656760946e-01 1.3897495405e-09
8.8007387989e-01 1.5122087296e-09
8.8359417541e-01 1.7225517404e-09
8.8712855212e-01 1.8848898126e-09
8.9067706632e-01 1.9966226036e-09
8.9423977459e-01 2.1444456866e-09
8.9781673369e-01 2.4431214581e-09
9.0140800062e-01 2.8289356333e-09
9.0501363262e-01 3.1987924889e-09
9.0863368715e-01 3.5358230795e-09
9.1226822190e-01 3.8838179362e-09
9.1591729479e-01 4.2366019483e-09
9.1958096397e-01 4.6213087293e-09
9.2325928783e-01 4.9597549041e-09
9.2695232498e-01 4.1028775259e-09
9.3066013428e-01 3.6774794924e-09
9.3438277481e-01 4.1285754308e-09
9.3812030591e-01 5.3579371783e-09
9.4187278714e-01 6.4392664590e-09
9.4564027829e-01 6.7215394261e-09
9.4942283940e-01 6.9601596068e-09
9.5322053076e-01 7.8648312665e-09
9.5703341288e-01 7.7769227850e-09
9.6086154653e-01 8.1172830226e-09
9.6470499272e-01 9.4248122289e-09
9.6856381269e-01 1.0249754992e-08
9.7243806794e-01 1.0836506681e-08
9.7632782021e-01 1.0907801780e-08
9.8023313149e-01 1.1025384438e-08
9.8415406402e-01 1.1832958612e-08
9.8809068027e-01 1.2813345159e-08
9.9204304299e-01 1.3626476208e-08
9.9601121517e-01 1.4658438459e-08
9.9999526003e-01 1.4739282652e-08
1.0039952411e+00 1.4354645351e-08
1.0080112220e+00 1.2601585718e-08
1.0120432669e+00 1.0529659839e-08
1.0160914400e+00 8.2773486231e-09
1.0201558057e+00 9.7520065733e-09
1.0242364290e+00 1.1641039882e-08
1.0283333747e+00 1.3308238960e-08
1.0324467082e+00 1.1158630534e-08
1.0365764950e+00 1.2057246295e-08
1.0407228010e+00 1.3357934126e-08
1.0448856922e+00 1.5052323941e-08
1.0490652350e+00 1.6594741445e-08
1.0532614959e+00 1.9092475483e-08
1.0574745419e+00 2.1537561934e-08
1.0617044401e+00 2.3329180848e-08
1.0659512578e+00 2.5158664399e-08
1.0702150629e+00 2.6549353827e-08
1.0744959231e+00 2.9064720477e-08
1.0787939068e+00 3.1707968950e-08
1.0831090824e+00 3.4038517678e-08
1.0874415188e+00 3.2677445298e-08
1.0917912848e+00 2.8627456171e-08
1.0961584500e+00 2.4695205259e-08
1.1005430838e+00 2.2294909893e-08
1.1049452561e+00 1.9510084080e-08
1.1093650371e+00 1.4520546116e-08
1.1138024973e+00 1.2816024282e-08
1.1182577073e+00 9.9326582497e-09
1.1227307381e+00 1.1979787709e-08
1.1272216610e+00 1.3966615792e-08
1.1317305477e+00 1.2458758081e-08
1.1362574699e+00 8.7148476086e-09
1.1408024998e+00 1.1269389003e-08
1.1453657098e+00 8.8200206125e-09
1.1499471726e+00 9.7322033625e-09
1.1545469613e+00 8.6174205321e-09
1.1591651491e+00 8.7034575690e-09
1.1638018097e+00 7.7176852420e-09
1.1684570170e+00 6.5501299937e-09
1.1731308450e+00 7.6786858180e-09
1.1778233684e+00 6.7561775152e-09
1.1825346619e+00 7.1899522139e-09
1.1872648005e+00 6.3416645835e-09
1.1920138597e+00 6.1190888018e-09
1.1967819152e+00 6.0579193676e-09
1.2015690428e+00 6.2690627987e-09
1.2063753190e+00 7.3009507230e-09
1.2112008203e+00 7.5106557099e-09
1.2160456236e+00 8.0765538196e-09
1.2209098061e+00 8.3690135434e-09
1.2257934453e+00 8.7780620648e-09
1.2306966191e+00 9.7981484993e-09
1.2356194055e+00 1.0888769741e-08
1.2405618832e+00 1.1688437716e-08
1.2455241307e+00 1.1823840027e-08
1.2505062272e+00 1.2639436117e-08
1.2555082521e+00 1.4765538355e-08
1.2605302851e+00 1.7657247636e-08
1.2655724063e+00 1.9365641295e-08
1.2706346959e+00 1.8637291907e-08
1.2757172347e+00 1.4995721352e-08
1.2808201036e+00 1.1677817808e-08
1.2859433840e+00 9.8470304252e-09
1.2910871576e+00 1.0193946646e-08
1.2962515062e+00 1.0464918900e-08
1.3014365122e+00 9.6980037401e-09
1.3066422583e+00 8.8146252963e-09
1.3118688273e+00 7.6461167703e-09
1.3171163026e+00 6.9350138456e-09
1.3223847678e+00 7.0129026618e-09
1.3276743069e+00 6.2881345203e-09
1.3329850041e+00 3.3292606418e-09
1.3383169442e+00 2.3311133701e-09
1.3436702119e+00 2.1194264358e-09
1.3490448928e+00 1.6416098848e-09
1.3544410723e+00 1.2987271991e-09
1.3598588366e+00 1.1167391236e-09
1.3652982720e+00 1.7577345981e-09
1.3707594651e+00 1.6211779603e-09
1.3762425029e+00 1.9822909181e-09
1.3817474729e+00 2.0424905183e-09
1.3872744628e+00 1.9918495395e-09
1.3928235607e+00 1.8971416308e-09
1.3983948549e+00 1.7167120805e-09
1.4039884343e+00 2.0944379131e-09
1.4096043881e+00 1.5471363267e-09
1.4152428056e+00 1.7728687838e-09
1.4209037769e+00 1.5255617959e-09
1.4265873920e+00 1.4465494924e-09
1.4322937415e+00 1.8632082694e-09
1.4380229165e+00 1.9006522315e-09
1.4437750082e+00 1.9647518007e-09
1.4495501082e+00 2.2150456924e-09
1.4553483086e+00 1.8700333229e-09
1.4611697019e+00 1.2896984468e-09
1.4670143807e+00 8.5668303221e-10
1.4728824382e+00 6.4984018683e-10
1.4787739680e+00 7.6651655685e-10
1.4846890638e+00 9.3231851802e-10
1.4906278201e+00 1.0217434433e-09
1.4965903314e+00 1.0337679564e-09
1.5025766927e+00 1.0644666176e-09
1.5085869995e+00 8.8208883568e-10
1.5146213475e+00 7.4547653036e-10
1.5206798328e+00 9.3265562332e-10
1.5267625522e+00 9.5847236245e-10
1.5328696024e+00 1.2137985971e-09
1.5390010808e+00 1.3345578712e-09
1.5451570851e+00 1.6390337858e-09
1.5513377135e+00 1.7607203411e-09
1.5575430643e+00 2.2085941570e-09
1.5637732366e+00 2.6079157534e-09
1.5700283295e+00 3.4956351677e-09
1.5763084428e+00 3.9660276104e-09
1.5826136766e+00 4.8031063579e-09
1.5889441313e+00 5.5561352651e-09
1.5952999078e+00 6.0075678922e-09
1.6016811075e+00 5.8390905388e-09
1.6080878319e+00 5.0871657142e-09
1.6145201832e+00 4.2063734943e-09
1.6209782640e+00 3.5543149121e-09
1.6274621770e+00 3.3348566453e-09
1.6339720257e+00 3.3214502210e-09
1.6405079138e+00 3.6112804717e-09
1.6470699455e+00 3.9177853956e-09
1.6536582253e+00 4.2662752287e-09
1.6602728582e+00 4.2459860756e-09
1.6669139496e+00 3.1816900186e-09
1.6735816054e+00 2.2182575230e-09
1.6802759318e+00 3.6491378695e-09
1.6869970355e+00 4.0560445991e-09
1.6937450237e+00 3.5933971264e-09
1.7005200038e+00 3.2347163010e-09
1.7073220838e+00 3.2252981960e-09
1.7141513721e+00 3.7722542598e-09
1.7210079776e+00 4.6109414103e-09
1.7278920095e+00 4.7118294912e-09
1.7348035776e+00 4.3919000730e-09
1.7417427919e+00 4.4680606659e-09
1.7487097630e+00 4.6602455695e-09
1.7557046021e+00 4.6821120887e-09
1.7627274205e+00 5.1326895929e-09
1.7697783302e+00 4.4970814598e-09
1.7768574435e+00 4.6089831557e-09
1.7839648733e+00 4.1401287610e-09
1.7911007328e+00 4.1418772357e-09
1.7982651357e+00 3.9955853235e-09
1.8054581962e+00 3.4656282385e-09
1.8126800290e+00 4.2052626759e-09
1.8199307491e+00 3.5612545601e-09
1.8272104721e+00 4.4992964437e-09
1.8345193140e+00 3.5563008164e-09
1.8418573913e+00 3.9293848048e-09
1.8492248209e+00 3.4011552275e-09
1.8566217201e+00 2.7354879311e-09
1.8640482070e+00 2.4980111593e-09
1.8715043998e+00 2.3537011946e-09
1.8789904174e+00 2.6350274045e-09
1.8865063791e+00 2.4944451121e-09
1.8940524046e+00 2.1614098868e-09
1.9016286143e+00 1.6410844331e-09
1.9092351287e+00 1.4551035237e-09
1.9168720692e+00 1.2205420029e-09
1.9245395575e+00 1.0122101739e-09
1.9322377157e+00 9.3174847878e-10
1.9399666666e+00 8.6478155830e-10
1.9477265333e+00 9.3488883953e-10
1.9555174394e+00 9.0245171088e-10
1.9633395092e+00 1.0143058096e-09
1.9711928672e+00 1.0095829781e-09
1.9790776387e+00 1.0640268302e-09
1.9869939492e+00 1.2107488105e-09
1.9949419250e+00 1.3161691190e-09
2.0029216927e+00 1.5389978605e-09
2.0109333795e+00 1.6159787509e-09
2.0189771130e+00 1.3167002319e-09
2.0270530214e+00 1.4868920265e-09
2.0351612335e+00 1.7011897009e-09
2.0433018785e+00 1.8232763840e-09
2.0514750860e+00 2.1532187435e-09
2.0596809863e+00 2.4880936740e-09
2.0679197103e+00 2.9819715475e-09
2.0761913891e+00 3.4900167448e-09
2.0844961547e+00 3.9763139445e-09
2.0928341393e+00 4.5695335743e-09
2.1012054758e+00 4.9645538781e-09
2.1096102977e+00 5.4312074523e-09
2.1180487389e+00 5.6605560135e-09
2.1265209339e+00 5.6115098270e-09
2.1350270176e+00 4.9677808518e-09
2.1435671257e+00 4.3860293730e-09
2.1521413942e+00 3.4993239436e-09
2.1607499598e+00 2.8893668792e-09
2.1693929596e+00 2.3743521363e-09
2.1780705315e+00 1.9043398858e-09
2.1867828136e+00 1.6982437415e-09
2.1955299448e+00 1.1937332032e-09
2.2043120646e+00 8.5390984698e-10
2.2131293129e+00 1.0613034969e-09
2.2219818301e+00 1.1417358890e-09
2.2308697574e+00 1.0096974416e-09
2.2397932365e+00 9.2128652205e-10
2.2487524094e+00 8.0814953622e-10
2.2577474191e+00 6.8663446038e-10
2.2667784087e+00 7.0899235680e-10
2.2758455224e+00 6.5035176154e-10
2.2849489045e+00 6.1330977125e-10
2.2940887001e+00 5.8027736030e-10
2.3032650549e+00 6.9909460501e-10
